Sample:	'Silicon_mirrors
511.50	38.578
511.00	38.559
510.50	38.556
510.00	38.568
509.50	38.606
509.00	38.658
508.50	38.711
508.00	38.756
507.50	38.790
507.00	38.802
506.50	38.810
506.00	38.813
505.50	38.816
505.00	38.826
504.50	38.843
504.00	38.864
503.50	38.894
503.00	38.918
502.50	38.943
502.00	38.972
501.50	39.005
501.00	39.045
500.50	39.088
500.00	39.118
499.50	39.140
499.00	39.150
498.50	39.150
498.00	39.143
497.50	39.135
497.00	39.147
496.50	39.179
496.00	39.220
495.50	39.264
495.00	39.306
494.50	39.343
494.00	39.385
493.50	39.434
493.00	39.481
492.50	39.523
492.00	39.564
491.50	39.595
491.00	39.620
490.50	39.642
490.00	39.667
489.50	39.696
489.00	39.735
488.50	39.778
488.00	39.832
487.50	39.883
487.00	39.937
486.50	39.995
486.00	40.061
485.50	40.123
485.00	40.176
484.50	40.205
484.00	40.216
483.50	40.219
483.00	40.232
482.50	40.257
482.00	40.301
481.50	40.365
481.00	40.442
480.50	40.523
480.00	40.608
479.50	40.672
479.00	40.715
478.50	40.743
478.00	40.754
477.50	40.771
477.00	40.813
476.50	40.871
476.00	40.947
475.50	41.034
475.00	41.114
474.50	41.180
474.00	41.217
473.50	41.226
473.00	41.242
472.50	41.278
472.00	41.342
471.50	41.426
471.00	41.509
470.50	41.578
470.00	41.641
469.50	41.681
469.00	41.703
468.50	41.717
468.00	41.739
467.50	41.771
467.00	41.813
466.50	41.848
466.00	41.877
465.50	41.903
465.00	41.935
464.50	41.973
464.00	42.025
463.50	42.073
463.00	42.112
462.50	42.137
462.00	42.157
461.50	42.167
461.00	42.185
460.50	42.195
460.00	42.201
459.50	42.212
459.00	42.234
458.50	42.248
458.00	42.262
457.50	42.273
457.00	42.286
456.50	42.298
456.00	42.299
455.50	42.283
455.00	42.259
454.50	42.247
454.00	42.275
453.50	42.326
453.00	42.374
452.50	42.406
452.00	42.411
451.50	42.377
451.00	42.334
450.50	42.295
450.00	42.269
449.50	42.280
449.00	42.325
448.50	42.382
448.00	42.429
447.50	42.461
447.00	42.488
446.50	42.527
446.00	42.569
445.50	42.628
445.00	42.680
444.50	42.719
444.00	42.751
443.50	42.774
443.00	42.781
442.50	42.803
442.00	42.825
441.50	42.851
441.00	42.879
440.50	42.907
440.00	42.942
439.50	43.002
439.00	43.063
438.50	43.124
438.00	43.169
437.50	43.198
437.00	43.235
436.50	43.289
436.00	43.353
435.50	43.431
435.00	43.500
434.50	43.560
434.00	43.601
433.50	43.621
433.00	43.636
432.50	43.665
432.00	43.706
431.50	43.765
431.00	43.832
430.50	43.883
430.00	43.931
429.50	43.979
429.00	44.031
428.50	44.075
428.00	44.129
427.50	44.181
427.00	44.223
426.50	44.270
426.00	44.340
425.50	44.414
425.00	44.479
424.50	44.533
424.00	44.578
423.50	44.633
423.00	44.709
422.50	44.799
422.00	44.885
421.50	44.961
421.00	45.053
420.50	45.148
420.00	45.218
419.50	45.260
419.00	45.301
418.50	45.341
418.00	45.393
417.50	45.450
417.00	45.507
416.50	45.573
416.00	45.664
415.50	45.766
415.00	45.867
414.50	45.962
414.00	46.065
413.50	46.172
413.00	46.274
412.50	46.358
412.00	46.444
411.50	46.530
411.00	46.610
410.50	46.686
410.00	46.764
409.50	46.842
409.00	46.953
408.50	47.062
408.00	47.156
407.50	47.255
407.00	47.370
406.50	47.510
406.00	47.691
405.50	47.858
405.00	48.018
404.50	48.152
404.00	48.251
403.50	48.322
403.00	48.361
402.50	48.370
402.00	48.398
401.50	48.457
401.00	48.564
400.50	48.721
400.00	48.883
399.50	49.038
399.00	49.206
398.50	49.361
398.00	49.500
397.50	49.595
397.00	49.653
396.50	49.689
396.00	49.756
395.50	49.861
395.00	49.997
394.50	50.157
394.00	50.339
393.50	50.520
393.00	50.652
392.50	50.752
392.00	50.811
391.50	50.878
391.00	50.980
390.50	51.129
390.00	51.278
389.50	51.428
389.00	51.568
388.50	51.699
388.00	51.825
387.50	51.987
387.00	52.197
386.50	52.460
386.00	52.723
385.50	52.971
385.00	53.139
384.50	53.250
384.00	53.329
383.50	53.413
383.00	53.518
382.50	53.683
382.00	53.908
381.50	54.184
381.00	54.407
380.50	54.555
380.00	54.666
379.50	54.750
379.00	54.873
378.50	55.071
378.00	55.275
377.50	55.500
377.00	55.755
376.50	55.983
376.00	56.186
375.50	56.345
375.00	56.483
374.50	56.624
374.00	56.756
373.50	56.838
373.00	56.906
372.50	56.922
372.00	56.948
371.50	57.056
371.00	57.201
370.50	57.377
370.00	57.570
369.50	57.705
369.00	57.774
368.50	57.851
368.00	57.916
367.50	57.980
367.00	58.060
366.50	58.123
366.00	58.163
365.50	58.187
365.00	58.181
364.50	58.145
364.00	58.084
363.50	58.052
363.00	58.058
362.50	58.046
362.00	57.995
361.50	57.918
361.00	57.808
360.50	57.711
360.00	57.664
359.50	57.634
359.00	57.608
358.50	57.563
358.00	57.530
357.50	57.469
357.00	57.390
356.50	57.320
356.00	57.312
355.50	57.315
355.00	57.307
354.50	57.242
354.00	57.084
353.50	56.897
353.00	56.776
352.50	56.752
352.00	56.825
351.50	56.927
351.00	57.045
350.50	57.120
350.00	57.056
349.50	56.858
349.00	56.569
348.50	56.221
348.00	55.929
347.50	55.776
347.00	55.669
346.50	55.698
346.00	55.839
345.50	56.101
345.00	56.353
344.50	56.515
344.00	56.495
343.50	56.421
343.00	56.350
342.50	56.398
342.00	56.456
341.50	56.474
341.00	56.326
340.50	56.173
340.00	55.945
339.50	55.659
339.00	55.402
338.50	55.312
338.00	55.177
337.50	55.175
337.00	55.099
336.50	54.893
336.00	54.716
335.50	54.711
335.00	54.723
334.50	54.787
334.00	54.753
333.50	54.786
333.00	54.867
332.50	55.001
332.00	55.133
331.50	55.248
331.00	55.239
330.50	55.341
330.00	55.389
329.50	55.339
329.00	55.229
328.50	55.137
328.00	55.005
327.50	54.917
327.00	54.816
326.50	54.772
326.00	54.951
325.50	55.434
325.00	56.039
324.50	56.502
324.00	56.635
323.50	56.399
323.00	55.928
322.50	55.430
322.00	55.106
321.50	55.037
321.00	55.253
320.50	55.722
320.00	56.161
319.50	56.319
319.00	56.260
318.50	56.119
318.00	56.036
317.50	56.169
317.00	56.403
316.50	56.707
316.00	57.099
315.50	57.542
315.00	57.949
314.50	58.179
314.00	58.207
313.50	58.163
313.00	58.098
312.50	58.010
312.00	57.807
311.50	57.612
311.00	57.539
310.50	57.574
310.00	57.809
309.50	58.028
309.00	58.093
308.50	58.233
308.00	58.504
307.50	58.784
307.00	59.103
306.50	59.280
306.00	59.326
305.50	59.371
305.00	59.423
304.50	59.464
304.00	59.523
303.50	59.519
303.00	59.736
302.50	60.018
302.00	60.346
301.50	60.669
301.00	60.992
300.50	61.279
300.00	61.806
299.50	62.418
299.00	63.098
298.50	63.558
298.00	63.761
297.50	63.692
297.00	63.496
296.50	63.336
296.00	63.366
295.50	63.495
295.00	63.836
294.50	64.256
294.00	64.721
293.50	65.102
293.00	65.392
292.50	65.720
292.00	66.211
291.50	66.771
291.00	67.319
290.50	67.728
290.00	67.832
289.50	67.752
289.00	67.618
288.50	67.580
288.00	67.642
287.50	67.901
287.00	68.389
286.50	68.948
286.00	69.523
285.50	70.088
285.00	70.316
284.50	70.234
284.00	69.941
283.50	69.573
283.00	69.329
282.50	69.453
282.00	69.871
281.50	70.584
281.00	71.276
280.50	71.796
280.00	72.123
279.50	72.170
279.00	72.058
278.50	72.030
278.00	71.923
277.50	71.937
277.00	72.015
276.50	71.969
276.00	71.952
275.50	72.168
275.00	72.512
274.50	73.185
274.00	73.858
273.50	74.252
273.00	74.411
272.50	74.350
272.00	74.010
271.50	73.604
271.00	73.092
270.50	72.733
270.00	72.591
269.50	72.703
269.00	73.012
268.50	73.508
268.00	73.873
267.50	74.248
267.00	74.293
266.50	73.928
266.00	73.374
265.50	72.645
265.00	71.851
264.50	71.394
264.00	71.255
263.50	71.378
263.00	71.690
262.50	71.939
262.00	72.081
261.50	72.115
261.00	71.906
260.50	71.494
260.00	71.066
259.50	70.840
259.00	71.006
258.50	71.110
258.00	70.885
257.50	70.420
257.00	69.944
256.50	69.614
256.00	69.617
255.50	69.602
255.00	69.485
254.50	69.359
254.00	69.076
253.50	68.655
253.00	68.253
252.50	68.165
252.00	68.357
251.50	68.752
251.00	68.990
250.50	68.908
250.00	68.564
249.50	68.114
249.00	67.726
248.50	67.542
248.00	67.422
247.50	67.468
247.00	67.543
246.50	67.659
246.00	67.836
245.50	68.135
245.00	68.355
244.50	68.503
244.00	68.515
243.50	68.340
243.00	67.963
242.50	67.482
242.00	66.931
241.50	66.526
241.00	66.052
240.50	65.630
240.00	65.517
239.50	65.526
239.00	65.656
238.50	65.834
238.00	65.761
237.50	65.729
237.00	66.227
236.50	66.840
236.00	67.212
235.50	67.262
235.00	67.155
234.50	67.082
234.00	67.203
233.50	67.478
233.00	67.958
232.50	68.627
232.00	69.400
231.50	69.949
231.00	69.804
230.50	69.146
230.00	67.967

